2019-07-04 17:49:33,500:INFO: 
 Experiment: experiments/baseline_fh
2019-07-04 17:51:13,977:INFO: TRAIN[000]: 	loss: 1.44572 	accuracy: 36.8% 	error: 63.2% 	data: 1477
2019-07-04 17:51:15,042:INFO: valid: 	loss: 1.04085 	accuracy: 47.8% 	error: 52.2% 	data: 184
2019-07-04 17:51:25,439:INFO: TRAIN[001]: 	loss: 0.53158 	accuracy: 80.8% 	error: 19.2% 	data: 1477
2019-07-04 17:51:26,499:INFO: valid: 	loss: 0.38319 	accuracy: 84.8% 	error: 15.2% 	data: 184
2019-07-04 17:51:37,096:INFO: TRAIN[002]: 	loss: 0.10111 	accuracy: 96.9% 	error: 3.1% 	data: 1477
2019-07-04 17:51:38,150:INFO: valid: 	loss: 0.33873 	accuracy: 89.7% 	error: 10.3% 	data: 184
2019-07-04 17:51:48,651:INFO: TRAIN[003]: 	loss: 0.04214 	accuracy: 98.6% 	error: 1.4% 	data: 1477
2019-07-04 17:51:49,709:INFO: valid: 	loss: 0.27259 	accuracy: 90.8% 	error: 9.2% 	data: 184
2019-07-04 17:52:00,245:INFO: TRAIN[004]: 	loss: 0.01914 	accuracy: 99.5% 	error: 0.5% 	data: 1477
2019-07-04 17:52:01,277:INFO: valid: 	loss: 0.20454 	accuracy: 92.9% 	error: 7.1% 	data: 184
2019-07-04 17:52:11,893:INFO: TRAIN[005]: 	loss: 0.00857 	accuracy: 99.9% 	error: 0.1% 	data: 1477
2019-07-04 17:52:12,997:INFO: valid: 	loss: 0.18351 	accuracy: 94.0% 	error: 6.0% 	data: 184
2019-07-04 17:52:23,537:INFO: TRAIN[006]: 	loss: 0.00756 	accuracy: 99.9% 	error: 0.1% 	data: 1477
2019-07-04 17:52:24,558:INFO: valid: 	loss: 0.19254 	accuracy: 94.0% 	error: 6.0% 	data: 184
2019-07-04 17:52:35,053:INFO: TRAIN[007]: 	loss: 0.00283 	accuracy: 99.9% 	error: 0.1% 	data: 1477
2019-07-04 17:52:36,095:INFO: valid: 	loss: 0.22019 	accuracy: 93.5% 	error: 6.5% 	data: 184
2019-07-04 17:52:46,530:INFO: TRAIN[008]: 	loss: 0.00208 	accuracy: 99.9% 	error: 0.1% 	data: 1477
2019-07-04 17:52:47,548:INFO: valid: 	loss: 0.20520 	accuracy: 93.5% 	error: 6.5% 	data: 184
2019-07-04 17:52:58,063:INFO: TRAIN[009]: 	loss: 0.00154 	accuracy: 100.0% 	error: 0.0% 	data: 1477
2019-07-04 17:52:59,112:INFO: valid: 	loss: 0.19735 	accuracy: 93.5% 	error: 6.5% 	data: 184
2019-07-04 17:53:09,520:INFO: TRAIN[010]: 	loss: 0.00098 	accuracy: 100.0% 	error: 0.0% 	data: 1477
